debuga9QYb:debugoVTad,adaptiveness_q1,3
debuga9QYb:debugoVTad,adaptiveness_q2,3
debuga9QYb:debugoVTad,age,20
debuga9QYb:debugoVTad,engagement_q1,4
debuga9QYb:debugoVTad,engagement_q2,4
debuga9QYb:debugoVTad,gender,Male
debuga9QYb:debugoVTad,general_comments,happy
debuga9QYb:debugoVTad,psiturk_exp,Yes
debuga9QYb:debugoVTad,robot_exp,No
debuga9QYb:debugoVTad,satisfaction_overall,2
debuga9QYb:debugoVTad,usability_q1,4
debuga9QYb:debugoVTad,usability_q2,4
debugT6dc3:debuggddIp,adaptiveness_q1,3
debugT6dc3:debuggddIp,adaptiveness_q2,3
debugT6dc3:debuggddIp,age,23
debugT6dc3:debuggddIp,engagement_q1,3
debugT6dc3:debuggddIp,engagement_q2,3
debugT6dc3:debuggddIp,gender,Female
debugT6dc3:debuggddIp,general_comments,dfdf
debugT6dc3:debuggddIp,psiturk_exp,Yes
debugT6dc3:debuggddIp,robot_exp,Yes
debugT6dc3:debuggddIp,satisfaction_overall,3
debugT6dc3:debuggddIp,usability_q1,2
debugT6dc3:debuggddIp,usability_q2,3
debugugNEr:debuglFbgx,age,20
debugugNEr:debuglFbgx,gender,Female
debugugNEr:debuglFbgx,psiturk_exp,Yes
debugugNEr:debuglFbgx,robot_exp,Yes
debugPJ481:debugBHmZ1,age,20
debugPJ481:debugBHmZ1,gender,Female
debugPJ481:debugBHmZ1,psiturk_exp,Yes
debugPJ481:debugBHmZ1,robot_exp,Yes
debugAP5ln:debugODedz,age,20
debugAP5ln:debugODedz,gender,Male
debugAP5ln:debugODedz,psiturk_exp,Yes
debugAP5ln:debugODedz,robot_exp,Yes
debug0kV3i:debug7amfj,age,20
debug0kV3i:debug7amfj,gender,Male
debug0kV3i:debug7amfj,psiturk_exp,Yes
debug0kV3i:debug7amfj,robot_exp,Yes
debug9D2QT5:debugANQMVX,age,80
debug9D2QT5:debugANQMVX,gender,Male
debug9D2QT5:debugANQMVX,psiturk_exp,Yes
debug9D2QT5:debugANQMVX,robot_exp,Yes
debugXUKYHK:debug169NVP,adaptiveness_q1,4
debugXUKYHK:debug169NVP,adaptiveness_q2,3
debugXUKYHK:debug169NVP,age,80
debugXUKYHK:debug169NVP,engagement_q1,2
debugXUKYHK:debug169NVP,engagement_q2,2
debugXUKYHK:debug169NVP,gender,Male
debugXUKYHK:debug169NVP,psiturk_exp,Yes
debugXUKYHK:debug169NVP,robot_exp,Yes
debugXUKYHK:debug169NVP,satisfaction_overall,3
debugXUKYHK:debug169NVP,usability_q1,5
debugXUKYHK:debug169NVP,usability_q2,4
debugcDHKH:debugyuxws,age,80
debugcDHKH:debugyuxws,gender,Male
debugcDHKH:debugyuxws,psiturk_exp,Yes
debugcDHKH:debugyuxws,robot_exp,Yes
debugiFJD9:debugrqWA8,age,80
debugiFJD9:debugrqWA8,gender,Male
debugiFJD9:debugrqWA8,psiturk_exp,Yes
debugiFJD9:debugrqWA8,robot_exp,Yes
debugUoqiA:debug5a69m,age,80
debugUoqiA:debug5a69m,gender,Male
debugUoqiA:debug5a69m,psiturk_exp,Yes
debugUoqiA:debug5a69m,robot_exp,Yes
debugiFEuP:debughY8Dn,age,18
debugiFEuP:debughY8Dn,gender,Female
debugiFEuP:debughY8Dn,psiturk_exp,Yes
debugiFEuP:debughY8Dn,robot_exp,Yes
debugiFEuP:debughY8Dn,engagement_q1,5
debugiFEuP:debughY8Dn,engagement_q2,3
debugiFEuP:debughY8Dn,usability_q1,3
debugiFEuP:debughY8Dn,usability_q2,4
debugiFEuP:debughY8Dn,adaptiveness_q1,4
debugiFEuP:debughY8Dn,adaptiveness_q2,4
debugiFEuP:debughY8Dn,satisfaction_overall,3
debugiFEuP:debughY8Dn,general_comments,"
much better"
